generations;average_fitness;best_fitness;time
0;39;28;5.413914918899536
1;32;23;10.31412124633789
2;27;17;14.924805879592896
3;21;13;20.067930698394775
4;17;12;24.662505626678467
5;15;9;30.024791717529297
6;14;9;34.63889718055725
7;12;9;39.853917360305786
8;11;9;45.11651921272278
9;11;9;49.74316143989563
10;11;9;55.10160303115845
11;11;9;59.75656867027283
12;11;9;65.0626220703125
13;11;8;70.2897458076477
14;11;7;74.90858960151672
15;11;7;80.21655678749084
16;11;7;84.90865349769592
17;10;7;90.16475176811218
18;10;7;95.44268560409546
19;9;7;100.07946562767029
20;9;7;105.4146831035614
21;9;7;110.00614881515503
22;9;5;115.31891202926636
23;9;5;120.65183329582214
24;9;5;125.41745471954346
25;8;5;130.67367911338806
26;7;5;135.9042341709137
27;7;5;140.6335265636444
28;7;5;145.78704595565796
29;7;5;150.9056785106659
30;7;5;155.60523629188538
31;7;5;160.97149538993835
32;7;5;166.3345980644226
33;7;5;171.05245804786682
34;7;5;176.34526777267456
35;7;5;181.71483397483826
36;7;5;186.4036910533905
37;7;5;191.7327003479004
38;7;5;196.4432544708252
39;7;5;202.0623424053192
40;7;5;206.72954845428467
41;7;5;212.1116921901703
42;7;5;217.54978013038635
43;7;5;222.36497402191162
44;7;5;227.73811507225037
45;7;5;232.38829588890076
46;7;5;237.83235335350037
47;7;5;242.5851800441742
48;7;5;248.02157640457153
49;7;5;252.7481083869934
50;7;5;257.9625380039215
51;7;5;262.91049337387085
52;7;5;267.46656012535095
53;7;5;272.8165211677551
54;7;5;277.425142288208
55;7;5;282.83968472480774
56;7;5;288.343873500824
57;7;5;293.08852648735046
58;7;5;298.5266649723053
59;7;5;303.151362657547
60;7;5;308.52444648742676
61;7;5;314.1861627101898
62;7;5;319.0492293834686
63;7;5;324.49871373176575
64;7;5;329.2466731071472
65;7;5;334.77857089042664
66;7;5;340.2134108543396
67;7;5;345.06922125816345
68;7;5;350.55643606185913
69;7;5;355.2300727367401
70;7;5;360.818825006485
71;7;5;366.27091908454895
72;7;5;371.10024666786194
73;7;5;376.90777015686035
74;7;5;381.6497585773468
75;7;5;387.1173462867737
76;7;5;392.7046582698822
77;7;5;397.5135040283203
78;7;5;402.9871461391449
79;7;5;407.7486116886139
80;7;5;413.26455879211426
81;7;5;418.75376415252686
82;7;5;423.4523012638092
83;7;5;428.9458417892456
84;7;5;433.65296936035156
85;7;5;439.10383915901184
86;7;5;444.6528687477112
87;7;5;449.3873920440674
88;7;5;454.7523901462555
89;7;5;459.41239309310913
90;7;5;465.34809374809265
91;7;5;470.91583251953125
92;7;5;475.6343786716461
93;7;5;481.2239580154419
94;7;5;485.86393332481384
95;7;5;491.3538889884949
96;7;5;496.2231149673462
97;7;5;501.8057143688202
98;7;5;506.4563727378845
99;7;5;511.8614990711212
100;7;5;517.3417935371399
101;7;5;522.1533496379852
102;7;5;527.6492276191711
103;7;5;532.4295854568481
104;7;5;537.9328944683075
105;7;5;542.6598079204559
106;7;5;548.3004260063171
107;7;5;553.9469633102417
108;7;5;558.6580018997192
109;7;5;564.0557327270508
110;7;5;569.503814458847
111;7;5;574.2355434894562
112;7;5;579.8442208766937
113;7;5;584.6117687225342
114;7;5;590.0581724643707
115;7;5;595.463653087616
116;7;5;600.2254526615143
117;7;5;605.848061800003
118;7;5;610.6234104633331
119;7;5;616.117915391922
120;7;5;621.6889061927795
121;7;5;626.4778597354889
122;7;5;632.0285527706146
123;7;5;636.7929406166077
124;7;5;642.2097613811493
125;7;5;647.7921514511108
126;7;5;652.5461328029633
127;7;5;658.1948091983795
128;7;5;662.9268720149994
129;7;5;668.4025778770447
130;7;5;673.8917706012726
131;7;5;678.5967314243317
132;7;5;684.2348921298981
133;7;5;689.0121612548828
134;7;5;694.4091327190399
135;7;5;699.9511930942535
136;7;5;704.7873311042786
137;7;5;710.2180640697479
138;7;5;714.8645677566528
139;7;5;720.399355173111
140;7;5;725.8422653675079
141;7;5;730.7526533603668
142;7;5;736.2789471149445
143;7;5;741.0499489307404
144;7;5;746.5454642772675
145;7;5;751.3626005649567
146;7;5;756.86066365242
147;7;5;761.6676151752472
148;7;5;767.1866085529327
149;7;5;772.7705640792847
150;7;5;777.5360136032104
151;7;5;783.0398964881897
152;7;5;787.9627864360809
153;7;5;793.2827043533325
154;7;5;798.7927436828613
155;7;5;803.5618813037872
156;7;5;809.0927910804749
157;7;5;813.9245939254761
158;7;5;819.3983819484711
159;7;5;824.878484249115
160;7;5;829.7596695423126
161;7;5;835.1215515136719
162;7;5;840.6580076217651
163;7;5;845.3725476264954
164;7;5;850.9365677833557
165;7;5;856.3820164203644
166;7;5;861.1681871414185
167;7;5;866.7365119457245
168;7;5;871.5044448375702
169;7;5;877.0915813446045
170;7;5;881.9109792709351
171;7;5;887.6903510093689
