generations;average_fitness;best_fitness;time
0;34;23;5.051507949829102
1;27;17;9.877991199493408
2;21;15;14.296410322189331
3;19;13;19.496865272521973
4;17;12;24.7406005859375
5;16;10;29.22820734977722
6;15;7;34.51739501953125
7;12;6;38.98790526390076
8;10;6;44.2271203994751
9;9;5;48.854294300079346
10;9;5;54.14490246772766
11;8;5;58.83694052696228
12;8;5;64.03925371170044
13;8;5;69.26333498954773
14;7;5;73.80342936515808
15;7;5;79.1569721698761
16;7;5;83.98237562179565
17;7;5;89.3067684173584
18;7;5;94.63971328735352
19;7;5;99.81411218643188
20;7;5;105.27282667160034
21;7;5;109.93601775169373
22;7;5;115.47543334960938
23;7;5;120.96479797363281
24;7;5;125.61300086975098
25;7;5;130.95207262039185
26;7;5;135.61635828018188
27;7;5;140.97923374176025
28;7;5;146.36241745948792
29;7;5;151.04597187042236
30;7;5;156.39642572402954
31;7;5;161.06215691566467
32;7;5;166.37019085884094
33;7;5;171.78189277648926
34;7;5;176.4903438091278
35;7;5;181.8298897743225
36;7;5;186.58408403396606
37;7;5;191.9317364692688
38;7;5;197.41915917396545
39;7;5;202.2808322906494
40;7;5;207.59198331832886
41;7;5;212.2295503616333
42;7;5;217.71489787101746
43;7;5;223.13654279708862
44;7;5;227.92106652259827
45;7;5;233.23103427886963
46;7;5;237.99075055122375
47;7;5;243.39469480514526
48;7;5;248.8021056652069
49;7;5;253.58699250221252
50;7;5;259.0042357444763
51;7;5;263.7332503795624
52;7;5;269.2395977973938
53;7;5;274.0440514087677
54;7;5;279.457142829895
55;7;5;284.8645236492157
56;7;5;289.53905630111694
57;7;5;295.09579133987427
58;7;5;300.6340363025665
59;7;5;305.4012987613678
60;7;5;310.87736988067627
61;7;5;315.7100625038147
62;7;5;320.91998410224915
63;7;5;324.98205184936523
64;7;5;329.8588054180145
65;7;5;334.18652391433716
66;7;5;339.52031111717224
67;7;5;344.9946434497833
68;7;5;349.79086780548096
69;7;5;355.26163053512573
70;7;5;359.97091794013977
71;7;5;365.4319040775299
72;7;5;370.2494134902954
73;7;5;375.83809185028076
74;7;5;380.61186170578003
75;7;5;386.06144618988037
76;7;5;391.5830898284912
77;7;5;396.33560276031494
78;7;5;401.7564346790314
79;7;5;406.4281151294708
80;7;5;411.9001326560974
81;7;5;416.5888433456421
82;7;5;422.12804436683655
83;7;5;426.92931628227234
84;7;5;432.3544089794159
85;7;5;437.0731449127197
86;7;5;442.5708472728729
87;7;5;448.1020894050598
88;7;5;452.87298583984375
89;7;5;458.2790529727936
90;7;5;462.99569940567017
91;7;5;468.49359107017517
92;7;5;473.9843189716339
93;7;5;478.72486090660095
94;7;5;484.3170564174652
95;7;5;489.0503499507904
96;7;5;494.5384271144867
97;7;5;500.0641031265259
98;7;5;504.838791847229
99;7;5;510.1888470649719
100;7;5;514.9658708572388
101;7;5;520.4557008743286
102;7;5;525.824987411499
103;7;5;530.7483208179474
104;7;5;536.2406892776489
105;7;5;541.0544202327728
106;7;5;546.5222611427307
107;7;5;551.9598097801208
108;7;5;556.8389143943787
109;7;5;562.4744319915771
110;7;5;567.1717667579651
111;7;5;572.661655664444
112;7;5;578.2335715293884
113;7;5;583.0151400566101
114;7;5;588.5070199966431
115;7;5;593.9286782741547
116;7;5;598.6947388648987
117;7;5;604.3245306015015
118;7;5;608.9450821876526
119;7;5;614.5370531082153
120;7;5;619.2929425239563
121;7;5;624.8808460235596
122;7;5;629.6720650196075
123;7;5;635.215635061264
124;7;5;639.9542891979218
125;7;5;645.4976389408112
126;7;5;651.0047957897186
127;7;5;655.6398742198944
128;7;5;661.100944519043
129;7;5;666.4645783901215
130;7;5;671.1974020004272
131;7;5;676.694934129715
132;7;5;681.4211983680725
133;7;5;686.8976709842682
134;7;5;691.7380788326263
135;7;5;697.2058429718018
136;7;5;702.8001537322998
137;7;5;707.4908671379089
138;7;5;713.0437877178192
139;7;5;717.7450938224792
140;7;5;723.2733356952667
141;7;5;727.983402967453
142;7;5;733.5258657932281
143;7;5;738.3120167255402
144;7;5;743.8327782154083
145;7;5;748.6823134422302
146;7;5;754.1152691841125
147;7;5;759.6138055324554
148;7;5;764.4012162685394
149;7;5;769.7413194179535
150;7;5;774.5546259880066
151;7;5;780.2316298484802
152;7;5;785.0286428928375
153;7;5;790.5218613147736
154;7;5;795.4026160240173
155;7;5;800.7727420330048
156;7;5;806.3323366641998
157;7;5;811.2450876235962
158;7;5;816.6249620914459
