generations;average_fitness;best_fitness;time
0;43;30;5.445725917816162
1;33;26;9.96448540687561
2;30;23;15.080259084701538
3;27;18;20.240551710128784
4;23;14;24.76889944076538
5;19;13;29.910890817642212
6;17;13;34.47463417053223
7;16;11;39.732160568237305
8;16;11;44.932440519332886
9;15;10;49.689894676208496
10;15;10;54.9983229637146
11;13;10;59.74321794509888
12;13;9;65.11235761642456
13;13;9;70.49467873573303
14;12;9;75.22299647331238
15;13;9;80.56949138641357
16;13;9;85.900319814682
17;13;9;90.45804595947266
18;12;9;95.80323052406311
19;12;9;100.5962553024292
20;12;9;106.07956194877625
21;12;9;111.52249312400818
22;12;9;116.21753025054932
23;12;9;121.58169984817505
24;12;9;126.9072778224945
25;12;9;131.64467000961304
26;12;9;137.20285487174988
27;12;9;141.83588981628418
28;12;9;147.24506640434265
29;12;9;152.7748453617096
30;12;9;157.5157949924469
31;12;8;163.14932560920715
32;12;8;167.93188786506653
33;12;8;173.4364242553711
34;12;8;178.77696657180786
35;11;8;183.57380294799805
36;11;8;189.15264225006104
37;11;6;193.78662300109863
38;10;6;199.1660237312317
39;9;6;204.50723123550415
40;9;6;209.30136394500732
41;9;6;214.80903935432434
42;9;6;219.4846956729889
43;9;6;224.91294932365417
44;9;6;230.53968167304993
45;9;6;235.28726172447205
46;9;6;240.7312445640564
47;9;6;245.4674723148346
48;9;6;250.99735832214355
49;9;6;255.73783802986145
50;9;6;261.3037528991699
51;9;6;266.03393173217773
52;9;5;271.44384384155273
53;9;5;276.90416502952576
54;9;5;281.65379548072815
55;8;5;287.1054410934448
56;8;5;291.7796440124512
57;8;4;297.10861134529114
58;8;4;301.91849732398987
59;7;3;307.33547282218933
60;7;3;312.8726670742035
61;6;3;317.5952339172363
62;6;3;323.03026580810547
63;6;3;328.47040271759033
64;6;3;333.37365889549255
65;6;3;338.7997145652771
66;6;3;343.5615611076355
67;6;3;349.0448524951935
68;6;3;354.57346653938293
69;6;3;359.47513699531555
70;6;3;364.9698910713196
71;6;3;369.6750922203064
72;6;3;375.1277549266815
73;6;3;380.02881240844727
74;6;3;385.6155197620392
75;6;3;390.43810200691223
76;6;3;396.00823497772217
77;6;3;400.861270904541
78;6;3;406.4356834888458
79;6;3;411.3661251068115
80;6;3;416.81783390045166
81;6;3;422.0438060760498
82;6;3;426.3534004688263
83;6;3;431.3278295993805
84;6;3;435.74595284461975
85;6;3;441.2574121952057
86;6;3;446.7305965423584
87;6;3;451.51189136505127
88;6;3;457.1289949417114
89;6;3;462.8284080028534
90;6;3;467.5539789199829
91;6;3;473.3214395046234
