generations;average_fitness;best_fitness;time
0;49;36;0.30724477767944336
1;42;34;0.6071691513061523
2;38;31;0.8732976913452148
3;35;30;1.190798282623291
4;33;27;1.426253080368042
5;30;24;1.6748449802398682
6;27;22;1.9748270511627197
7;24;20;2.2120206356048584
8;23;18;2.44096302986145
9;22;18;2.737361192703247
10;20;16;2.967986822128296
11;19;16;3.2831015586853027
12;18;16;3.5092713832855225
13;18;14;3.7410550117492676
14;17;14;4.039391279220581
15;16;13;4.280869960784912
16;15;13;4.553371906280518
17;15;12;4.848555564880371
18;14;12;5.083001613616943
19;14;12;5.392026662826538
20;13;11;5.6378936767578125
21;13;11;5.86453652381897
22;13;10;6.16129207611084
23;12;9;6.414839506149292
24;12;9;6.666046857833862
25;12;8;6.97128963470459
26;11;8;7.243744373321533
27;10;8;7.536464691162109
28;10;8;7.812002897262573
29;9;8;8.069136142730713
30;10;8;8.379018545150757
31;10;8;8.623961925506592
32;9;8;8.88396430015564
33;10;7;9.217893600463867
34;10;5;9.473320245742798
35;9;5;9.7942795753479
36;8;5;10.023597955703735
37;7;5;10.267806768417358
38;6;5;10.558639526367188
39;6;5;10.797762393951416
40;6;5;11.121693134307861
41;6;5;11.377938747406006
42;6;5;11.606544733047485
43;7;5;11.903910875320435
44;7;5;12.133294820785522
45;6;5;12.368989944458008
46;7;5;12.663588285446167
47;7;5;12.906207799911499
48;7;5;13.244891166687012
49;7;5;13.501278162002563
50;6;5;13.743005275726318
51;7;5;14.091118812561035
52;6;5;14.343735456466675
53;7;5;14.574931144714355
54;7;5;14.887563705444336
55;6;5;15.11896824836731
56;6;5;15.419676303863525
57;7;5;15.64467740058899
58;7;5;15.897173881530762
59;6;5;16.199698448181152
60;7;5;16.471205711364746
61;7;5;16.713258028030396
62;6;5;17.005223989486694
63;7;5;17.243210315704346
64;7;5;17.557708501815796
65;6;5;17.82113742828369
66;7;5;18.05925750732422
67;7;5;18.37926197052002
68;7;5;18.63152003288269
69;6;5;18.85938286781311
70;7;5;19.15664505958557
71;7;5;19.407777070999146
72;7;5;19.74902319908142
73;7;3;19.98300576210022
74;7;3;20.228241682052612
75;6;3;20.53066849708557
76;5;3;20.779144763946533
77;4;3;21.000637531280518
78;4;3;21.321577787399292
