generations;average_fitness;best_fitness;time
0;49;37;1.39387845993042
1;42;28;2.3716633319854736
2;37;24;3.3567733764648438
3;34;24;4.361755132675171
4;32;20;5.3925042152404785
5;30;18;6.4245710372924805
6;29;16;7.50918984413147
7;28;17;8.591166734695435
8;28;16;9.670521259307861
9;27;14;10.69395923614502
10;26;14;11.710009574890137
11;25;14;12.754156589508057
12;26;12;13.737565755844116
13;25;12;14.850647449493408
14;25;12;15.864612817764282
15;24;12;16.930450916290283
16;24;11;17.96230149269104
17;24;11;19.013323545455933
18;24;10;20.02018904685974
19;23;8;21.069949865341187
20;23;7;22.146785259246826
21;23;7;23.232002019882202
22;23;9;24.348511457443237
23;23;7;25.468201875686646
24;23;10;26.4984610080719
25;23;11;27.551847219467163
26;23;13;28.60959506034851
27;24;12;29.684842824935913
28;24;9;30.781854391098022
29;24;8;31.883451461791992
30;23;8;32.9567129611969
31;22;9;34.01852059364319
32;23;11;35.0646607875824
33;23;9;36.179484128952026
34;23;7;37.26173496246338
35;23;10;38.31451916694641
36;23;10;39.38090395927429
37;23;10;40.49651384353638
38;23;12;41.56703782081604
39;24;10;42.60006594657898
40;24;9;43.62044548988342
41;23;7;44.647942781448364
42;22;10;45.68143439292908
43;22;10;46.74644589424133
44;23;12;47.83454418182373
45;24;8;48.9349148273468
46;24;10;50.010671854019165
47;24;11;51.160205125808716
48;24;7;52.22810912132263
49;23;10;53.261518239974976
50;23;9;54.31126022338867
51;23;9;55.33373308181763
52;23;10;56.43977499008179
53;23;10;57.48047947883606
54;23;11;58.56997752189636
55;24;9;59.61989903450012
56;24;11;60.70726919174194
57;24;9;61.7818808555603
58;24;11;62.84454417228699
59;24;10;63.900126934051514
60;24;12;65.00837683677673
61;25;11;66.11620497703552
62;25;13;67.14560437202454
63;25;12;68.14333748817444
64;24;10;69.13382983207703
65;24;10;70.15713477134705
66;24;10;71.18776512145996
67;24;12;72.27223539352417
68;24;9;73.29983854293823
69;23;6;74.35495853424072
70;23;9;75.44365191459656
71;23;12;76.53368282318115
72;23;10;77.58001780509949
73;23;10;78.67546725273132
74;23;9;79.68911528587341
75;24;7;80.73734498023987
76;23;9;81.79338264465332
77;23;9;82.87160229682922
78;23;10;83.8954689502716
79;23;10;85.0361316204071
80;23;6;86.18614673614502
81;23;6;87.2260229587555
82;23;6;88.33701848983765
83;22;8;89.39608216285706
84;22;6;90.45130205154419
85;22;7;91.47386312484741
86;22;7;92.50180983543396
87;22;9;93.54868125915527
88;23;10;94.65963125228882
89;22;9;95.70116472244263
90;22;8;96.79441833496094
91;22;10;97.85778594017029
92;22;8;98.92841863632202
93;22;6;99.98954653739929
94;22;8;101.08322644233704
95;23;6;102.18548679351807
96;22;5;103.24413824081421
97;22;8;104.266774892807
98;22;9;105.36046957969666
99;22;9;106.41040420532227
100;22;9;107.49014353752136
101;23;11;108.55954241752625
102;23;9;109.61530709266663
103;22;9;110.68897247314453
104;23;10;111.76380658149719
105;23;11;112.82526588439941
106;24;7;113.89810585975647
107;23;9;114.96453833580017
108;23;10;116.01807141304016
109;23;8;117.06849384307861
110;23;8;118.16300368309021
111;23;8;119.23464179039001
112;22;9;120.31064128875732
113;22;11;121.38549971580505
114;23;7;122.46505928039551
115;22;8;123.49726748466492
116;22;7;124.53198456764221
117;22;6;125.56732201576233
118;22;4;126.65341687202454
119;21;7;127.7263491153717
120;21;7;128.84016370773315
121;21;6;129.92061924934387
122;21;8;131.009624004364
123;22;8;132.0409026145935
124;22;10;133.07153367996216
125;23;8;134.0861747264862
126;22;7;135.1248426437378
127;22;7;136.24077916145325
128;22;10;137.26462292671204
129;23;10;138.37029910087585
130;23;11;139.52998757362366
131;23;10;140.6412034034729
132;23;10;141.68512201309204
133;23;11;142.79915285110474
134;23;10;143.83998918533325
135;23;10;144.92173290252686
136;23;10;145.96933245658875
137;23;11;147.06927680969238
138;23;9;148.08836674690247
139;23;10;149.18133449554443
140;23;10;150.22010779380798
141;24;11;151.28877425193787
142;23;9;152.32115507125854
143;23;10;153.4007031917572
144;23;11;154.45199608802795
145;24;9;155.52872514724731
146;24;9;156.58507204055786
147;24;11;157.64067101478577
148;24;11;158.73162245750427
149;24;9;159.84825730323792
150;24;10;160.97376251220703
151;24;11;162.05814838409424
152;24;9;163.1088457107544
153;23;10;164.15377497673035
154;23;10;165.2268671989441
155;23;10;166.28788328170776
156;23;8;167.38849234580994
157;22;10;168.43132162094116
158;23;12;169.5176923274994
159;24;6;170.56010842323303
160;23;7;171.65665864944458
161;22;9;172.7294204235077
162;23;9;173.77574920654297
163;23;11;174.79971981048584
164;23;8;175.94722509384155
165;22;8;177.0219657421112
166;22;6;178.06313014030457
167;22;8;179.15632581710815
168;22;8;180.18511867523193
