generations;average_fitness;best_fitness;time
0;46;31;9.399078369140625
1;45;30;15.900802612304688
2;43;29;24.547119140625
3;42;27;32.31493520736694
4;41;27;41.13048505783081
5;40;23;49.210705280303955
6;39;23;56.99571752548218
7;38;22;65.01518273353577
8;37;22;73.92334008216858
9;37;22;82.03650426864624
10;36;22;90.11570978164673
11;35;20;98.47045040130615
12;35;20;107.54540395736694
13;34;20;116.24466586112976
14;33;18;124.35240483283997
15;33;18;132.5619821548462
16;32;18;141.57280445098877
17;32;18;149.9034824371338
18;31;18;158.06217217445374
19;31;18;166.57682514190674
20;30;16;175.6156997680664
21;30;16;184.04109835624695
22;29;16;193.13247561454773
23;29;12;200.45189929008484
24;28;12;209.4706654548645
25;28;12;218.06318831443787
26;28;11;227.31541514396667
27;27;11;234.8098714351654
28;26;11;243.81531882286072
29;26;11;252.3023340702057
30;25;11;261.55627727508545
31;25;11;269.1180703639984
32;24;11;278.5817792415619
33;24;10;287.1182038784027
34;23;9;296.2171850204468
35;23;9;304.71580505371094
36;22;9;312.79806900024414
37;21;9;321.23721385002136
38;21;9;330.44714641571045
39;20;7;339.0276744365692
40;20;5;347.14843702316284
41;19;5;355.97391414642334
42;18;4;366.59089255332947
43;18;2;375.48954582214355
44;17;2;383.60117530822754
45;16;2;392.621789932251
46;15;0;403.33919739723206
