generations;average_fitness;best_fitness;time
0;47;31;10.022570133209229
1;45;31;17.846110343933105
2;44;26;27.479480266571045
3;42;26;36.809603214263916
4;41;26;46.56901216506958
5;40;23;56.198553800582886
6;39;23;64.7528862953186
7;38;20;74.22377848625183
8;37;20;84.03887391090393
9;37;20;93.60373044013977
10;36;20;102.23640704154968
11;35;20;111.97001957893372
12;34;20;121.94012904167175
13;33;19;131.72162008285522
14;33;17;140.59302020072937
15;32;17;150.31686234474182
16;31;17;160.32729983329773
17;31;16;170.10099744796753
18;30;15;178.7967026233673
19;29;13;188.52779006958008
20;29;12;198.66736316680908
21;28;12;208.52119779586792
22;28;12;217.34223794937134
23;27;12;227.1762092113495
24;27;12;237.4197051525116
25;26;12;247.33423399925232
26;25;12;256.1456971168518
27;25;11;266.3504116535187
28;24;11;276.60606837272644
29;24;10;286.5767283439636
30;23;10;295.3993742465973
31;23;10;305.2211744785309
32;22;9;315.32141041755676
33;22;9;325.1612322330475
34;21;8;333.93639397621155
35;21;8;343.78114342689514
36;20;5;353.8346972465515
37;20;5;363.5955617427826
38;19;3;372.2334439754486
39;18;3;381.9184617996216
40;18;3;392.0699200630188
41;17;3;401.9998745918274
42;16;3;410.7939875125885
43;15;3;420.65063762664795
44;14;2;430.61760902404785
45;13;0;440.552729845047
