generations;average_fitness;best_fitness;time
0;54;38;6.702883005142212
1;53;37;13.062227964401245
2;51;34;18.70471215248108
3;50;33;25.187064170837402
4;49;32;31.73180103302002
5;48;32;38.29654026031494
6;47;32;44.92953419685364
7;46;32;50.557673931121826
8;46;29;57.19597625732422
9;45;29;63.77160406112671
10;44;28;70.36900019645691
11;44;23;76.92435717582703
12;43;23;82.62490916252136
13;42;23;89.1465060710907
14;42;23;95.71989417076111
15;41;23;102.24625992774963
16;41;23;108.96229314804077
17;40;23;114.59911012649536
18;40;23;121.34005308151245
19;40;23;128.0289511680603
20;39;23;134.7164590358734
21;39;23;141.45263528823853
22;38;23;147.18519401550293
23;38;23;153.65004420280457
24;37;23;160.360671043396
25;37;19;166.97825002670288
26;36;19;173.72423815727234
27;36;19;179.4148871898651
28;36;19;186.14781427383423
29;35;19;192.74944519996643
30;35;19;199.53316712379456
31;35;19;206.34353613853455
32;34;19;212.11212420463562
33;34;19;218.87532114982605
34;34;19;225.67953300476074
35;34;18;232.43461298942566
36;33;18;239.25500917434692
37;33;18;244.97855710983276
38;32;17;251.72984910011292
39;32;14;258.46982502937317
40;32;14;265.29828119277954
41;31;14;272.1027400493622
42;31;14;277.8984839916229
43;31;14;284.6382939815521
44;31;14;291.4263610839844
45;30;14;298.14365792274475
46;30;14;305.0250072479248
47;29;14;310.7549362182617
48;29;14;317.572154045105
49;28;7;324.30423498153687
50;28;7;331.1115140914917
51;28;7;337.9425699710846
52;27;7;343.69024109840393
53;27;7;350.43068408966064
54;27;7;357.11251401901245
55;26;7;363.89261531829834
56;26;7;370.76954913139343
57;25;7;376.49200201034546
58;25;7;383.23179602622986
59;25;7;389.8659362792969
60;24;7;396.64904022216797
61;24;7;403.45370411872864
62;23;7;409.21025919914246
63;23;5;415.95578694343567
64;22;5;422.7365093231201
65;22;5;429.5195782184601
66;21;5;436.38415002822876
67;20;5;442.09919714927673
68;20;4;448.8705561161041
69;19;4;455.59956407546997
70;19;4;462.36562514305115
71;18;2;469.1339282989502
72;17;2;474.8894131183624
73;16;2;481.5689332485199
74;15;2;488.2520761489868
75;13;2;494.99623227119446
76;12;2;501.7287452220917
77;10;2;507.3369200229645
78;8;2;513.9628632068634
79;7;2;520.5180993080139
80;5;2;527.155424118042
81;5;2;533.7938010692596
82;4;2;539.4653749465942
83;4;2;546.0921862125397
84;4;2;552.7540001869202
85;4;2;559.378790140152
86;4;2;566.0686593055725
87;4;2;571.6429581642151
88;4;2;578.297449350357
89;4;2;584.9743559360504
90;4;2;591.6151149272919
91;4;2;598.2911942005157
92;4;2;603.9439251422882
93;4;2;610.5748522281647
94;4;2;617.2095720767975
95;4;2;623.866809129715
96;4;2;630.603021144867
97;4;2;636.213849067688
98;4;2;642.8487610816956
99;4;2;649.874752998352
100;4;2;656.5731751918793
101;4;2;663.1230289936066
102;4;2;668.767904996872
103;4;2;675.401556968689
104;4;2;682.1346642971039
105;4;2;688.7678599357605
106;4;2;695.4035079479218
107;4;2;700.914901971817
108;4;2;707.5774168968201
109;4;2;714.2149441242218
110;4;2;720.8903701305389
111;4;2;727.5972201824188
112;4;2;733.255627155304
113;4;2;739.8844442367554
114;4;2;746.549684047699
115;4;2;753.2240900993347
116;4;2;759.8407130241394
117;4;2;765.4647722244263
118;4;2;772.0242841243744
119;4;2;778.533961057663
120;4;2;785.2965302467346
121;17;2;792.0474271774292
122;20;2;797.5548212528229
123;20;2;803.7691190242767
124;20;2;810.2717201709747
125;20;2;816.7769200801849
126;8;2;823.2847459316254
127;5;2;828.797422170639
128;4;2;835.3243210315704
129;4;2;841.8927040100098
130;4;2;848.4827461242676
131;4;2;855.1455652713776
132;4;2;860.79838514328
133;4;2;867.2963099479675
134;4;2;873.8680760860443
135;4;2;880.5114130973816
136;4;2;887.2236821651459
137;4;2;892.8158299922943
138;4;2;899.550377368927
139;4;2;906.2017171382904
140;4;2;912.9062042236328
141;4;2;919.6162841320038
142;4;2;925.2650990486145
143;4;2;931.8952612876892
144;4;2;938.6070101261139
145;4;2;945.312824010849
146;4;2;952.0955712795258
147;4;2;957.7397649288177
148;4;2;964.4390861988068
149;4;2;971.0658869743347
150;4;2;977.7787251472473
151;4;2;984.491217136383
152;4;2;990.195680141449
153;4;2;996.8772501945496
154;4;2;1003.5583982467651
155;4;2;1010.2210149765015
156;4;2;1016.9853320121765
157;4;2;1022.6112282276154
158;4;2;1029.2777280807495
159;4;2;1035.9003031253815
160;4;2;1042.618574142456
161;4;2;1049.3738820552826
162;4;2;1055.0666670799255
163;4;2;1061.7078201770782
164;4;2;1068.4091801643372
165;4;2;1075.1107230186462
166;4;2;1081.844003200531
167;4;2;1087.4604442119598
168;4;2;1094.1303091049194
169;4;2;1100.815642118454
170;4;2;1107.5325291156769
171;4;2;1114.216684103012
172;4;2;1119.8958640098572
173;4;2;1126.5558490753174
174;4;2;1133.2949533462524
175;4;2;1139.970781326294
176;4;2;1146.6973502635956
177;4;2;1152.2167880535126
178;4;2;1158.9320549964905
179;4;2;1165.4636380672455
180;4;2;1172.134737253189
181;4;2;1178.7897000312805
182;4;2;1184.4730911254883
183;4;2;1191.1365871429443
184;4;2;1197.8282370567322
185;4;2;1204.5644512176514
186;4;2;1211.2827651500702
187;4;2;1216.9256329536438
188;4;2;1223.608136177063
189;4;2;1230.2710211277008
190;4;2;1237.0111701488495
191;4;2;1243.7450921535492
192;4;2;1249.4707701206207
193;4;2;1256.112015247345
194;4;2;1262.799479007721
195;4;2;1269.485347032547
196;4;2;1276.242597103119
197;4;2;1281.8511941432953
198;4;2;1288.5406432151794
199;4;2;1295.1922590732574
200;4;2;1301.937569141388
201;4;2;1308.6239049434662
202;4;2;1314.331621170044
203;4;2;1320.947773218155
204;4;2;1327.6541602611542
205;4;2;1334.2047080993652
206;4;2;1340.9284501075745
207;4;2;1346.6289629936218
208;4;2;1353.3114669322968
209;4;2;1359.8699481487274
210;4;2;1366.5047512054443
211;4;2;1373.2040922641754
212;4;2;1378.9179570674896
213;4;2;1385.4633431434631
214;4;2;1392.05242228508
215;4;2;1398.8216981887817
216;4;2;1405.5440011024475
217;4;2;1411.1897699832916
218;4;2;1417.9226171970367
219;4;2;1424.5738611221313
220;4;2;1431.3296959400177
221;4;2;1438.112428188324
222;4;2;1443.7997660636902
223;4;2;1450.4689600467682
224;4;2;1457.2058041095734
225;4;2;1463.9084811210632
226;4;2;1470.6858580112457
227;4;2;1476.3583211898804
228;4;2;1483.1105751991272
229;4;2;1489.8398551940918
230;4;2;1496.5637230873108
231;4;2;1503.323016166687
232;4;2;1509.0332572460175
233;4;2;1515.711548089981
234;4;2;1522.4385540485382
235;4;2;1529.174164056778
236;4;2;1535.9442641735077
237;4;2;1541.6305871009827
238;4;2;1548.3679449558258
239;4;2;1555.0531260967255
240;4;2;1561.7876291275024
241;4;2;1568.5038731098175
242;4;2;1574.1941602230072
243;4;2;1580.870735168457
244;4;2;1587.6257042884827
245;4;2;1594.343742132187
246;4;2;1601.1533091068268
247;4;2;1606.8517439365387
248;4;2;1613.5627210140228
249;4;2;1620.287575006485
