generations;average_fitness;best_fitness;time
0;47;31;6.531887054443359
1;45;31;12.773673295974731
2;44;29;19.251199960708618
3;42;28;25.69871211051941
4;41;28;31.286113023757935
5;40;24;37.68074417114258
6;39;24;44.19865322113037
7;39;24;50.695847034454346
8;38;24;57.3306450843811
9;37;24;62.943926095962524
10;36;21;69.55345916748047
11;36;21;76.13458824157715
12;35;20;82.7887191772461
13;34;18;89.34536123275757
14;34;18;94.93061017990112
15;33;18;101.51150822639465
16;32;15;108.15244007110596
17;31;15;114.82574105262756
18;31;15;121.57567095756531
19;30;15;127.21593594551086
20;29;14;133.8608272075653
21;29;14;140.5020821094513
22;28;12;147.2064230442047
23;27;12;153.9027509689331
24;27;10;159.56083917617798
25;26;10;166.19686007499695
26;25;10;172.88790011405945
27;25;10;179.55572605133057
28;24;10;186.29010915756226
29;23;9;191.9358949661255
30;23;9;198.60784316062927
31;22;9;205.27260518074036
32;21;8;211.9834361076355
33;21;8;218.71699023246765
34;20;7;224.36040902137756
35;19;6;231.00446796417236
36;18;6;237.69819521903992
37;18;6;244.3514051437378
38;17;6;251.01308703422546
39;16;5;256.6085081100464
40;16;5;263.22968316078186
41;15;4;269.89850902557373
42;14;3;276.4867651462555
43;13;3;283.02096915245056
44;13;2;288.6566231250763
45;12;2;295.1351521015167
46;11;2;301.7062940597534
47;10;2;308.2529399394989
48;10;2;314.94486117362976
49;9;2;320.45403003692627
50;8;2;326.77008724212646
51;8;2;333.2974171638489
52;7;2;339.90075612068176
53;6;2;346.39759707450867
54;5;2;351.9157910346985
55;4;2;358.38246512413025
56;4;2;364.92520904541016
57;4;2;371.4887111186981
58;4;2;378.1042261123657
59;4;2;383.6297631263733
60;4;2;390.2018051147461
61;4;2;396.7332122325897
62;4;2;403.3036160469055
63;4;2;409.88010001182556
64;4;2;415.4240849018097
65;4;2;421.95566415786743
66;3;2;428.5139482021332
67;4;2;435.10013008117676
68;4;2;441.7501108646393
69;4;2;447.2935469150543
70;4;2;453.85777711868286
71;4;2;460.3817892074585
72;4;2;466.98697113990784
73;4;2;473.6030261516571
74;3;2;479.18789505958557
75;4;2;485.7402322292328
76;4;2;492.3200330734253
77;4;2;498.8558850288391
78;4;2;505.50771021842957
79;4;2;511.032368183136
80;4;2;517.5983040332794
81;3;2;524.1469979286194
82;4;2;530.7728841304779
83;4;2;537.359297990799
84;4;2;542.9168000221252
85;4;2;549.4469630718231
86;4;2;556.0680510997772
87;4;2;562.5934171676636
88;4;2;569.2298700809479
89;4;2;574.7498779296875
90;4;2;581.3133821487427
91;4;2;587.8353819847107
92;3;2;594.4712309837341
93;4;2;601.0842642784119
94;14;2;606.7168412208557
95;17;2;613.1213970184326
96;17;2;619.5426599979401
97;17;2;625.9980750083923
98;17;2;632.3384308815002
99;8;2;637.5563671588898
100;4;2;644.0171420574188
101;4;2;650.5195240974426
102;4;2;657.0268499851227
103;4;2;663.5392711162567
104;4;2;669.0336611270905
105;4;2;675.6064810752869
106;4;2;682.1744902133942
107;4;2;688.7565660476685
108;4;2;695.4167490005493
109;4;2;700.989639043808
110;3;2;707.5817992687225
111;3;2;714.1300160884857
112;4;2;720.6652491092682
113;4;2;727.3092200756073
114;4;2;732.9270701408386
115;4;2;739.249801158905
116;4;2;745.8675141334534
117;4;2;752.4582178592682
118;4;2;759.0925421714783
119;4;2;764.6576640605927
120;3;2;771.0196890830994
121;3;2;777.5839121341705
122;4;2;784.2440922260284
123;4;2;790.8803119659424
124;3;2;796.4700672626495
125;4;2;803.052933216095
126;4;2;809.6734790802002
127;3;2;816.298614025116
128;3;2;823.0150411128998
129;4;2;828.5693171024323
130;4;2;835.1897010803223
131;4;2;841.7849941253662
132;4;2;848.4246032238007
133;4;2;855.0780169963837
134;3;2;860.7239179611206
135;4;2;867.3039221763611
136;4;2;873.9447731971741
137;4;2;880.5896949768066
138;4;2;887.2962100505829
139;4;2;892.8532311916351
140;4;2;899.4850010871887
141;4;2;906.0930271148682
142;4;2;912.7416501045227
143;4;2;919.3946290016174
144;3;2;925.0126352310181
145;4;2;931.6978580951691
146;3;2;938.3606560230255
147;4;2;944.9891219139099
148;4;2;951.6823742389679
149;4;2;957.2465901374817
150;4;2;963.889820098877
151;4;2;970.486643075943
152;4;2;977.1676070690155
153;4;2;983.8912150859833
154;4;2;989.5411620140076
155;4;2;996.1376528739929
156;4;2;1002.7840201854706
157;4;2;1009.4540150165558
158;4;2;1016.1980872154236
159;4;2;1021.8171629905701
160;4;2;1028.4585211277008
161;4;2;1035.0998771190643
162;4;2;1041.855502128601
163;4;2;1048.5255773067474
164;4;2;1054.1469931602478
165;4;2;1060.7341721057892
166;4;2;1067.401612997055
167;4;2;1074.0203130245209
168;4;2;1080.7237329483032
169;4;2;1086.3111140727997
170;4;2;1093.0179901123047
171;3;2;1099.6704721450806
172;3;2;1106.3728339672089
173;3;2;1113.0735878944397
174;4;2;1118.7093329429626
175;4;2;1125.3256402015686
176;4;2;1132.0014960765839
177;4;2;1138.673357963562
178;4;2;1145.4173521995544
179;3;2;1151.0350031852722
180;4;2;1157.6963291168213
181;4;2;1164.2965071201324
182;4;2;1170.9742591381073
183;4;2;1177.6346170902252
184;3;2;1183.283613204956
185;4;2;1189.9218401908875
186;4;2;1196.6155331134796
187;4;2;1203.2723121643066
188;4;2;1209.9655830860138
189;4;2;1215.5454370975494
190;4;2;1222.2241351604462
191;4;2;1228.8925642967224
192;3;2;1235.593836069107
193;4;2;1242.3033509254456
194;4;2;1247.991060256958
195;4;2;1254.6415531635284
196;4;2;1261.326709985733
197;4;2;1268.0047960281372
198;4;2;1274.620465040207
199;4;2;1280.1608290672302
200;4;2;1286.80304813385
201;4;2;1293.4688880443573
202;4;2;1300.1701970100403
203;4;2;1306.7635052204132
204;3;2;1312.3210940361023
205;3;2;1318.9903330802917
206;4;2;1325.676292181015
207;4;2;1332.2164950370789
208;3;2;1338.8193430900574
209;4;2;1344.4345390796661
210;3;2;1350.9690690040588
211;3;2;1357.5045320987701
212;3;2;1364.1935641765594
213;4;2;1370.8541328907013
214;4;2;1376.533595085144
215;4;2;1383.184555053711
216;4;2;1389.900029182434
217;4;2;1396.6020331382751
218;4;2;1403.360412120819
219;4;2;1409.0159380435944
220;4;2;1415.68079996109
221;4;2;1422.3487730026245
222;4;2;1429.0497698783875
223;4;2;1435.7725439071655
224;4;2;1441.4433410167694
225;4;2;1448.0494651794434
226;4;2;1454.722848892212
227;4;2;1461.3934881687164
228;3;2;1468.1549859046936
229;3;2;1473.7712292671204
230;3;2;1480.4560451507568
231;4;2;1487.1083271503448
232;4;2;1493.8623721599579
233;4;2;1500.5470390319824
234;4;2;1506.2237870693207
235;4;2;1512.8311359882355
236;3;2;1519.5756900310516
237;4;2;1526.2570569515228
238;4;2;1533.0461130142212
239;4;2;1538.673543214798
240;4;2;1545.355297088623
241;4;2;1552.013946056366
242;4;2;1558.7682440280914
243;4;2;1565.4585692882538
244;4;2;1571.1631121635437
245;4;2;1577.8144948482513
246;3;2;1584.5277428627014
247;3;2;1591.2089269161224
248;4;2;1598.0264210700989
249;3;2;1603.6641340255737
