generations;average_fitness;best_fitness;time
0;49;34;9.344269752502441
1;48;34;17.19277048110962
2;46;30;26.830970764160156
3;45;30;36.23926758766174
4;44;29;45.93216300010681
5;43;27;54.12880206108093
6;42;27;63.662147760391235
7;41;27;73.14873766899109
8;40;27;82.96737694740295
9;40;26;92.57578563690186
10;39;26;101.32029843330383
11;38;25;110.83540916442871
12;38;23;120.71509599685669
13;37;19;130.2946915626526
14;36;19;138.84638285636902
15;36;19;148.4343123435974
16;35;19;158.272225856781
17;35;19;167.90770602226257
18;34;18;176.53062891960144
19;34;18;186.22577095031738
20;33;18;196.28313326835632
21;33;18;206.05941724777222
22;32;18;214.72090888023376
23;31;16;224.34740018844604
24;31;16;234.33204436302185
25;30;16;244.05991530418396
26;30;16;252.73333954811096
27;29;15;262.3856089115143
28;28;15;272.3134639263153
29;28;13;282.06948018074036
30;27;13;290.5920355319977
31;26;13;300.32957100868225
32;26;13;310.27556228637695
33;25;12;320.0578920841217
34;25;11;330.1208095550537
35;24;11;338.51434302330017
36;23;10;348.47651743888855
37;22;9;358.1966886520386
38;22;7;368.23150181770325
39;21;7;376.6219518184662
40;21;5;386.57862401008606
41;20;5;396.36181902885437
42;19;5;406.4450330734253
43;18;5;414.90118885040283
44;18;5;424.90921998023987
45;17;5;434.7515187263489
46;17;4;444.7989616394043
47;16;4;453.2558205127716
48;16;4;463.23178362846375
49;15;3;473.06784892082214
50;14;3;483.01376700401306
51;13;3;491.26606130599976
52;13;3;501.3887622356415
53;12;2;511.1857283115387
54;12;2;521.2005567550659
55;11;2;531.0273962020874
56;10;2;539.6356592178345
57;10;2;549.2757301330566
58;9;2;559.2542243003845
59;8;2;568.9829571247101
60;8;2;577.4653594493866
61;7;2;587.332897901535
62;6;2;597.2527506351471
63;6;2;607.1695640087128
64;5;2;615.9809560775757
65;4;2;625.6887929439545
66;4;2;635.5407314300537
67;4;2;645.2775225639343
68;4;2;653.8310322761536
69;4;2;663.440920829773
70;4;2;673.2719585895538
71;4;2;683.0541274547577
72;4;2;691.6065366268158
73;4;2;701.3127472400665
74;4;2;711.1153235435486
75;4;2;720.7039306163788
76;4;2;729.1823449134827
77;4;2;738.5116310119629
78;4;2;748.390496969223
