generations;average_fitness;best_fitness;time
0;86;64;11.662837982177734
1;84;63;19.28542709350586
2;82;63;28.674195289611816
3;81;59;38.05097317695618
4;79;59;47.46153116226196
5;78;59;56.85332703590393
6;77;59;66.12281703948975
7;76;55;75.58363723754883
8;76;55;83.66749000549316
9;75;55;93.69308996200562
10;74;55;103.13553810119629
11;73;53;112.61136507987976
12;73;53;122.10097193717957
13;72;53;131.50675296783447
14;71;53;141.02869391441345
15;71;53;150.1683120727539
16;71;50;159.7696533203125
17;70;50;169.50898122787476
18;70;50;179.8316032886505
19;69;50;189.5538730621338
20;68;50;199.1432180404663
21;68;49;208.75621604919434
22;68;47;217.0512671470642
23;67;45;226.65582418441772
24;67;45;236.26136708259583
25;66;45;245.89278101921082
26;66;45;255.53928327560425
27;66;45;265.18438386917114
28;65;45;275.1450562477112
29;65;45;283.5978741645813
30;64;45;293.3885281085968
31;64;45;303.02452397346497
32;64;45;312.805545091629
33;63;45;322.4629752635956
34;63;42;332.22123098373413
35;63;42;342.3498260974884
36;62;42;350.89820313453674
37;62;42;360.56206727027893
38;61;42;370.23132610321045
39;61;42;379.8506622314453
40;61;42;389.79326605796814
41;61;42;399.57600927352905
42;60;40;409.26460099220276
43;60;40;417.6130790710449
44;60;40;427.3319351673126
45;59;40;436.78149914741516
46;59;40;446.6601493358612
47;59;39;456.4416561126709
48;59;39;466.1875030994415
49;58;37;475.94487595558167
50;58;37;484.3732089996338
51;58;37;494.2128360271454
52;57;37;504.07888102531433
53;57;37;514.3056120872498
54;57;36;524.0228161811829
55;57;36;533.7044010162354
56;56;36;543.4619591236115
57;56;36;551.7199079990387
58;56;36;561.3952350616455
59;55;36;571.402505159378
60;55;36;581.0208261013031
61;55;36;590.6563191413879
62;54;36;600.5263950824738
63;54;33;610.491140127182
64;54;33;618.8318932056427
65;54;32;628.5281419754028
66;53;32;638.222501039505
67;53;31;648.0050761699677
68;53;31;657.9969751834869
69;52;31;667.9636461734772
70;52;31;677.7517971992493
71;52;31;686.4512102603912
72;51;31;696.5202469825745
73;51;29;706.1771602630615
74;51;28;715.7668352127075
75;51;28;725.3927862644196
76;51;28;734.9152979850769
77;50;28;744.6934199333191
78;50;28;753.373113155365
79;50;28;763.0632860660553
80;49;27;772.7100350856781
81;49;27;782.3603360652924
82;49;27;791.9664082527161
83;49;27;801.6481580734253
84;48;27;811.7222592830658
85;48;27;820.0763831138611
86;48;27;830.0044310092926
87;48;27;839.7582900524139
88;47;25;849.5189332962036
89;47;25;859.0093741416931
90;47;25;868.6769111156464
91;46;25;878.3935179710388
92;46;25;886.6768400669098
93;46;25;896.2712140083313
94;46;25;905.8896579742432
95;45;25;915.549901008606
96;45;25;925.274215221405
97;45;25;935.0058591365814
98;45;25;944.7589411735535
99;44;25;953.0398120880127
100;44;25;962.7004132270813
101;44;24;972.3192980289459
102;43;24;981.741717338562
103;43;24;991.6234641075134
104;43;23;1001.407133102417
105;43;23;1011.1854701042175
106;42;23;1019.4696371555328
107;42;23;1029.139662027359
108;42;23;1038.6415252685547
109;42;22;1048.3936870098114
110;41;21;1057.9415171146393
111;41;21;1067.6617450714111
112;41;21;1077.3003060817719
113;41;21;1085.575649023056
114;40;21;1095.21262216568
115;40;21;1104.9109070301056
116;40;21;1114.57142329216
117;40;21;1124.236031293869
118;39;20;1133.7158110141754
119;39;20;1143.5056891441345
120;39;20;1151.7747349739075
121;38;20;1161.5616312026978
122;38;20;1171.6524431705475
123;38;20;1181.338007926941
124;37;20;1191.0226411819458
125;37;19;1200.7363193035126
126;37;19;1210.50914311409
127;37;18;1218.8003051280975
128;36;18;1228.4720361232758
129;36;18;1238.166920185089
130;36;17;1247.8330569267273
131;36;16;1257.537003993988
132;35;16;1267.2698061466217
133;35;16;1276.8970861434937
134;35;16;1285.199594259262
135;35;16;1294.9081761837006
136;34;16;1304.5919442176819
137;34;16;1314.3178191184998
138;34;16;1324.0671231746674
139;33;16;1333.7695531845093
140;33;16;1343.5788791179657
141;33;16;1351.8855111598969
142;32;16;1361.525647163391
143;32;16;1371.3495280742645
