generations;average_fitness;best_fitness;time
0;67;47;8.952034950256348
1;65;46;17.24045705795288
2;63;46;25.956762075424194
3;62;43;34.62389802932739
4;60;43;42.36072397232056
5;59;41;51.0631148815155
6;58;40;59.8252432346344
7;57;40;68.75618290901184
8;56;38;76.48843693733215
9;55;35;85.2080910205841
10;54;35;94.1278760433197
11;53;35;103.04821395874023
12;52;34;110.8423399925232
13;51;34;119.6915431022644
14;50;32;128.61171293258667
15;49;30;137.5335350036621
16;48;30;145.35412502288818
17;48;30;154.2451090812683
18;47;27;163.163232088089
19;46;27;172.13496017456055
20;46;27;179.96143102645874
21;45;25;188.8783049583435
22;44;25;197.7040150165558
23;44;25;206.72084403038025
24;43;25;214.58157300949097
25;42;25;223.52367997169495
26;42;25;232.52538895606995
27;41;25;241.5358030796051
28;41;25;249.42213916778564
29;40;24;258.4163761138916
30;40;22;267.4376931190491
31;39;22;276.48503398895264
32;39;22;284.35737705230713
33;38;21;293.02916288375854
34;37;21;302.08747696876526
35;37;21;311.15175914764404
36;37;21;319.04777693748474
37;36;19;327.72709608078003
38;35;19;336.78780698776245
39;35;19;345.8528790473938
40;34;19;353.7445738315582
41;34;19;362.7129280567169
42;33;16;371.77228116989136
43;33;15;380.8849630355835
44;32;15;388.7648730278015
45;31;15;397.7649211883545
46;31;15;406.8040931224823
47;30;15;415.9232728481293
48;30;14;423.8682041168213
49;29;14;432.8741612434387
50;29;14;441.958300113678
51;28;12;451.04886293411255
52;27;8;458.9529399871826
53;27;8;467.956796169281
54;26;8;477.0257840156555
55;26;8;486.12061619758606
56;25;8;494.0392198562622
57;24;8;503.02319622039795
58;23;8;512.1001200675964
59;23;8;521.1650850772858
60;22;6;529.0312960147858
61;21;6;538.0013201236725
62;21;6;547.0568182468414
63;20;5;556.1019051074982
64;19;5;563.9699859619141
65;18;4;572.93177318573
66;18;3;581.9821412563324
67;17;3;591.0392858982086
68;16;2;598.8672561645508
69;15;2;607.8115649223328
70;13;0;616.8234219551086
